BatteryLevel,"pTimeStamp,latitude,longitude,age,device_guid,accuracy,location_type,course,speed,altitude,BatteryLevel","2012-10-03T11:13:09.000-0400",accuracy,age,altitude,course,,,,,,,,,"device_guid",,"ip-10-34-107-159",main,latitude,1,"location_type",longitude,pTimeStamp,",,,,,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",speed,"ip-10-34-107-159",,none,
100,"9/26/2012 11:45:00 PM,-40.905219,174.980713,0,d02b97ee-9864-e05c-a7ec-3ce18151593d,10,GPS,-1,-1,9,100","2012-09-26T23:45:00.000-0400",10,0,9,"-1",23,26,45,september,0,wednesday,2012,local,"d02b97ee-9864-e05c-a7ec-3ce18151593d",,"ip-10-34-107-159",main,"-40.905219",1,GPS,"174.980713","9/26/2012 11:45:00 PM","//_::_,-.,.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
27,"9/26/2012 11:42:46 PM,43.702929,-79.3784073,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,30,GPS,0,0,0,27","2012-09-26T23:42:46.000-0400",30,0,0,0,23,26,42,september,46,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.702929",1,GPS,"-79.3784073","9/26/2012 11:42:46 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
25,"9/26/2012 11:42:34 PM,-34.897115,138.602077,0,08d18e77-cbb6-8e5a-f70e-5afd72bc65b5,10,GPS,-1,0,51,25","2012-09-26T23:42:34.000-0400",10,0,51,"-1",23,26,42,september,34,wednesday,2012,local,"08d18e77-cbb6-8e5a-f70e-5afd72bc65b5",,"ip-10-34-107-159",main,"-34.897115",1,GPS,"138.602077","9/26/2012 11:42:34 PM","//_::_,-.,.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
30,"9/26/2012 11:42:07 PM,-37.707684,176.147565,0,2dfcf448-c7a3-7f9c-c25b-35b3abaa2eb2,30,WIFI,-1,-1,0,30","2012-09-26T23:42:07.000-0400",30,0,0,"-1",23,26,42,september,7,wednesday,2012,local,"2dfcf448-c7a3-7f9c-c25b-35b3abaa2eb2",,"ip-10-34-107-159",main,"-37.707684",1,WIFI,"176.147565","9/26/2012 11:42:07 PM","//_::_,-.,.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
35,"9/26/2012 11:40:11 PM,51.510432,-0.126593,0,16310cc4-c212-a440-2484-89136020f37e,65,GPS,-1,-1,38,35","2012-09-26T23:40:11.000-0400",65,0,38,"-1",23,26,40,september,11,wednesday,2012,local,"16310cc4-c212-a440-2484-89136020f37e",,"ip-10-34-107-159",main,"51.510432",1,GPS,"-0.126593","9/26/2012 11:40:11 PM","//_::_,.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
27,"9/26/2012 11:37:46 PM,43.7030059,-79.3784754,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,24,GPS,0,0,0,27","2012-09-26T23:37:46.000-0400",24,0,0,0,23,26,37,september,46,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.7030059",1,GPS,"-79.3784754","9/26/2012 11:37:46 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
27,"9/26/2012 11:32:46 PM,43.7030059,-79.3784754,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,24,GPS,0,0,0,27","2012-09-26T23:32:46.000-0400",24,0,0,0,23,26,32,september,46,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.7030059",1,GPS,"-79.3784754","9/26/2012 11:32:46 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
95,"9/26/2012 11:31:35 PM,-33.407754,-70.598302,0,e4f46716-b51f-2e78-7015-e90bc8eb0fed,75,GPS,-1,-1,637,95","2012-09-26T23:31:35.000-0400",75,0,637,"-1",23,26,31,september,35,wednesday,2012,local,"e4f46716-b51f-2e78-7015-e90bc8eb0fed",,"ip-10-34-107-159",main,"-33.407754",1,GPS,"-70.598302","9/26/2012 11:31:35 PM","//_::_,-.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
15,"9/26/2012 11:30:19 PM,40.724433,-73.952688,0,210bc1ff-c14a-d63f-cffb-fd1feca98fdc,30,GPS,-1,0,30,15","2012-09-26T23:30:19.000-0400",30,0,30,"-1",23,26,30,september,19,wednesday,2012,local,"210bc1ff-c14a-d63f-cffb-fd1feca98fdc",,"ip-10-34-107-159",main,"40.724433",1,GPS,"-73.952688","9/26/2012 11:30:19 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
55,"9/26/2012 11:30:11 PM,32.939432,-96.746203,0,9d222d46-9710-5cb3-0d4b-e4b518e78f90,30,GPS,49,11,61,55","2012-09-26T23:30:11.000-0400",30,0,61,49,23,26,30,september,11,wednesday,2012,local,"9d222d46-9710-5cb3-0d4b-e4b518e78f90",,"ip-10-34-107-159",main,"32.939432",1,GPS,"-96.746203","9/26/2012 11:30:11 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",11,"ip-10-34-107-159",21,,0
